"from","to","value"
"gene34","gene48","0.0752215602895814"
"gene29","gene37","0.0751368462830044"
"gene41","gene45","0.0750879312296142"
"gene25","gene29","0.0748489533542718"
"gene16","gene45","0.0745215455476691"
"gene16","gene31","0.0742978308870434"
"gene6","gene13","0.0742687002759096"
"gene16","gene25","0.0742292051043715"
"gene7","gene15","0.073967823655748"
"gene9","gene14","0.0737600279686025"
"gene16","gene34","0.0734911748474701"
"gene1","gene14","0.0734004361767245"
"gene32","gene49","0.0733626085624243"
"gene9","gene17","0.0732977159354301"
"gene27","gene34","0.0728960335161178"
"gene21","gene45","0.0728582327490395"
"gene5","gene30","0.0728143011180648"
"gene31","gene41","0.0726504698474748"
"gene3","gene19","0.0724733751762864"
"gene16","gene42","0.0723969788011988"
"gene5","gene16","0.0722911319287732"
"gene44","gene45","0.071985925652387"
"gene22","gene31","0.0719272697168262"
"gene8","gene11","0.0718359249080215"
"gene28","gene40","0.0713735923646441"
"gene27","gene46","0.0713641647141117"
"gene2","gene19","0.0712106551571615"
"gene41","gene48","0.0711309929369288"
"gene5","gene11","0.0708167805165305"
"gene18","gene47","0.0706369418483007"
"gene41","gene49","0.070014391624746"
"gene8","gene19","0.0696719601132386"
"gene12","gene15","0.0693298308394452"
"gene8","gene12","0.0692560356166552"
"gene11","gene15","0.069096476944668"
"gene8","gene17","0.069092828169763"
"gene31","gene36","0.0690428924810511"
"gene26","gene27","0.0689298960046968"
"gene15","gene19","0.0682552027140616"
"gene29","gene32","0.0681424777951637"
"gene4","gene16","0.0678228537777741"
"gene3","gene14","0.067790219926069"
"gene5","gene45","0.0676595637375127"
"gene22","gene29","0.0676202916960113"
"gene7","gene9","0.0671560405759204"
"gene29","gene47","0.0670476294831739"
"gene30","gene33","0.0669360181480235"
"gene16","gene26","0.0668205174125704"
"gene8","gene15","0.066494853135698"
"gene18","gene45","0.0661298246718449"
"gene2","gene30","0.0655491199848776"
"gene11","gene33","0.0655142408263435"
"gene24","gene41","0.0653642641931681"
"gene12","gene23","0.0652442139169315"
"gene16","gene38","0.0644804855343526"
"gene24","gene43","0.0644408757098514"
"gene25","gene27","0.0639674715443944"
"gene8","gene14","0.0635099868609471"
"gene26","gene45","0.0632010900481019"
"gene31","gene35","0.0631976470939905"
"gene3","gene30","0.0627025799603361"
"gene4","gene29","0.0626761368061077"
"gene37","gene46","0.0625324522299323"
"gene8","gene23","0.0624191400931269"
"gene16","gene32","0.0611396461959999"
"gene8","gene9","0.0610638711622986"
"gene29","gene31","0.0609987685694435"
"gene5","gene29","0.0608711230228313"
"gene13","gene35","0.0607497797913296"
"gene4","gene26","0.0606260701137813"
"gene10","gene40","0.0604004641089545"
"gene29","gene36","0.0603131638003174"
"gene5","gene32","0.0602778262166512"
"gene26","gene43","0.0597474733002143"
"gene21","gene46","0.0592743111986372"
"gene10","gene15","0.0591505206678203"
"gene29","gene42","0.0588361767068991"
"gene32","gene45","0.0587016091300741"
"gene36","gene40","0.0584984444304217"
"gene8","gene31","0.0579964571702928"
"gene26","gene32","0.0578063372157397"
"gene17","gene33","0.0575527903460289"
"gene7","gene19","0.0574541193269961"
"gene48","gene49","0.057273932838495"
"gene7","gene11","0.0571734706900099"
"gene24","gene31","0.0570765575642963"
"gene45","gene47","0.057063506723369"
"gene29","gene34","0.0565063855201356"
"gene18","gene24","0.0564331864463341"
"gene31","gene40","0.0562719636222229"
"gene18","gene27","0.0562228904401834"
"gene16","gene37","0.0561919364513958"
"gene11","gene13","0.0561084147537498"
"gene18","gene21","0.0559021007022551"
"gene40","gene46","0.0558673587730159"
"gene25","gene47","0.0554506924796846"
"gene6","gene30","0.0554200122756841"
"gene22","gene27","0.0553630627012579"
"gene25","gene32","0.0552369197557258"
"gene4","gene48","0.0551240075543244"
"gene7","gene23","0.0548706739070291"
"gene7","gene17","0.0545301726643442"
"gene22","gene48","0.0544464231164209"
"gene12","gene13","0.0544333182832626"
"gene9","gene13","0.0542833542332854"
"gene4","gene14","0.0539660211986539"
"gene3","gene39","0.0538886864619491"
"gene20","gene43","0.0538681902779849"
"gene40","gene43","0.0534924601362264"
"gene10","gene11","0.0534328730637834"
"gene16","gene40","0.0533986132239637"
"gene5","gene27","0.0529921622044985"
"gene36","gene43","0.0529646094793538"
"gene41","gene42","0.0528064903913074"
"gene18","gene46","0.0527380769492965"
"gene12","gene17","0.0526635563610323"
"gene37","gene45","0.0518385952089234"
"gene13","gene33","0.0515523076828151"
"gene2","gene48","0.0514729249425636"
"gene20","gene22","0.0514495839056586"
"gene17","gene32","0.0510958465687274"
"gene10","gene30","0.0509892050825825"
"gene4","gene31","0.0507218528796956"
"gene5","gene31","0.0506344357268727"
"gene4","gene27","0.0505503593511398"
"gene27","gene36","0.0504532324021252"
"gene4","gene46","0.0504133319899505"
"gene8","gene33","0.0501997168305853"
"gene24","gene48","0.0501596527329016"
"gene18","gene34","0.0500696754166945"
"gene18","gene32","0.050012612948922"
"gene6","gene33","0.0498837775059552"
"gene2","gene26","0.0498813278881517"
"gene10","gene23","0.0497290587571119"
"gene5","gene49","0.0495951918160411"
"gene26","gene33","0.0495514371781096"
"gene2","gene29","0.0492968861834267"
"gene10","gene35","0.0492019156301246"
"gene27","gene32","0.0487958820427423"
"gene13","gene31","0.048633301081754"
"gene19","gene30","0.0484047109902646"
"gene23","gene33","0.0479789532707931"
"gene13","gene22","0.0479391012736519"
"gene8","gene30","0.0479103838411725"
"gene21","gene38","0.0477946444116436"
"gene31","gene42","0.0477575388527051"
"gene5","gene39","0.0476950178154657"
"gene15","gene33","0.0476702529344443"
"gene18","gene22","0.0476677876834995"
"gene13","gene16","0.0475591015807717"
"gene9","gene11","0.0475298649573759"
"gene2","gene20","0.0471656449597895"
"gene4","gene20","0.0471421300121022"
"gene21","gene42","0.0471260728793559"
"gene4","gene49","0.0470853473039282"
"gene18","gene41","0.0470266554949111"
"gene11","gene32","0.0469907449422933"
"gene13","gene19","0.0468557113435531"
"gene5","gene14","0.0468073720798756"
"gene38","gene45","0.0466166580363005"
"gene8","gene43","0.0465786217546618"
"gene41","gene44","0.0465112834390733"
"gene4","gene18","0.0464998938949152"
"gene24","gene36","0.0463590611575941"
"gene37","gene38","0.0462815347183082"
"gene14","gene17","0.0462008731867474"
"gene13","gene43","0.0461195038948947"
"gene29","gene43","0.0461137698650316"
"gene17","gene30","0.04602495836232"
"gene6","gene19","0.0454073956901437"
"gene29","gene35","0.0452125266265007"
"gene13","gene14","0.0451033564177651"
"gene10","gene48","0.0448762391827609"
"gene21","gene41","0.0448654071235071"
"gene4","gene35","0.0445796115846348"
"gene5","gene26","0.044506219284929"
"gene10","gene43","0.0444301928158793"
"gene18","gene38","0.0441941166125852"
"gene13","gene48","0.043987877396511"
"gene8","gene35","0.0439694894770102"
"gene25","gene31","0.0438973810327811"
"gene7","gene35","0.0438605483487539"
"gene12","gene30","0.0437300765267335"
"gene2","gene31","0.0436206584433663"
"gene7","gene12","0.043518507311638"
"gene14","gene15","0.0434891072542764"
"gene8","gene22","0.0434219507639609"
"gene10","gene31","0.0433519060700784"
"gene13","gene39","0.0431344450134578"
"gene13","gene17","0.042913666646588"
"gene16","gene20","0.0428475273318164"
"gene32","gene46","0.0427754790793472"
"gene15","gene39","0.0425737057554029"
"gene18","gene42","0.0424199134027524"
"gene14","gene19","0.0423012147922292"
"gene26","gene46","0.0421533055171627"
