"from","to","value"
"gene17","gene43","0.0162197067158091"
"gene47","pheno1","0.01619123126908"
"gene28","gene48","0.0161469575491433"
"gene24","gene42","0.0161271425103567"
"gene6","gene27","0.0160888811542915"
"gene8","gene49","0.0160704303621503"
"gene26","gene37","0.0160548861051016"
"gene18","pheno3","0.0159368208260748"
"gene16","gene35","0.0158933084496062"
"gene36","gene38","0.0158621716747485"
"gene23","gene34","0.0158533946861785"
"gene39","pheno1","0.0157545947864056"
"gene3","gene27","0.0157323518609858"
"gene25","gene34","0.0157235234609518"
"gene43","gene49","0.0157231632192703"
"gene22","pheno3","0.0156600179103371"
"gene14","pheno1","0.0156556879071061"
"gene18","gene35","0.0156090971914058"
"gene28","gene47","0.0156049113833869"
"gene27","gene48","0.0155239247679606"
"gene2","gene36","0.0155234682549691"
"gene32","gene40","0.0153607114128742"
"gene4","gene37","0.0152572439033754"
"gene14","gene25","0.015115993515782"
"gene43","gene48","0.0150220207255955"
"gene37","gene49","0.0150015451899574"
"gene28","gene45","0.0149944424304971"
"gene6","gene14","0.0149698306301627"
"gene2","gene43","0.0149127191319749"
"gene11","gene31","0.0149006557538627"
"gene34","gene44","0.0148651154218626"
"gene19","gene28","0.0148486703214426"
"gene30","gene32","0.0147911048588907"
"gene18","gene28","0.0147678346780372"
"gene11","gene25","0.0147511076211576"
"gene12","gene48","0.014740580197526"
"gene8","gene32","0.0147121585411581"
"gene20","gene45","0.014655785449025"
"gene1","gene48","0.0146538818371316"
"gene6","gene25","0.0146469565030498"
"gene13","gene28","0.0145440082006603"
"gene32","gene44","0.0144966327956646"
"gene22","gene33","0.0144831748813517"
"gene1","gene40","0.0143748011468355"
"gene39","gene47","0.0141112214576869"
"gene24","gene35","0.0140369799335964"
"gene7","gene47","0.0139726739313491"
"gene17","gene28","0.0139414996241268"
"gene24","gene32","0.0139029115538295"
"gene29","gene30","0.0138980516073487"
"gene12","gene20","0.0138731239038484"
"gene25","gene41","0.0138711006660384"
"gene31","gene37","0.0138049602411043"
"gene17","gene24","0.0137913232667772"
"gene1","gene21","0.0137437096531176"
"gene5","gene38","0.0136421027398945"
"gene8","gene28","0.0135981313100785"
"gene10","gene29","0.0135922923039621"
"gene33","gene47","0.0135888254680175"
"gene6","gene24","0.0135645075686473"
"gene19","gene21","0.0135624146853853"
"gene17","gene29","0.0134882586284595"
"gene38","gene40","0.0134513084316357"
"gene6","gene43","0.0133838240355086"
"gene28","gene38","0.0132842491562221"
"gene7","gene20","0.013278465882937"
"gene8","gene41","0.0132694122685268"
"pheno1","pheno2","0.0132026985942424"
"gene1","gene25","0.013196232998571"
"gene33","gene38","0.0131661028736752"
"gene6","gene36","0.0131208542756672"
"gene11","gene47","0.0129579031819858"
"gene12","gene39","0.0128733094569369"
"gene34","gene39","0.0128085266116834"
"gene20","gene21","0.012785608453388"
"gene19","gene22","0.0127787558681693"
"gene7","gene39","0.012765395185382"
"gene26","gene42","0.0127109962553251"
"gene4","gene47","0.012696116309512"
"gene36","gene48","0.012672322231241"
"gene19","gene49","0.0126507935922949"
"gene25","gene43","0.0126282642422323"
"gene4","gene44","0.0125503301552242"
"gene10","gene18","0.012501615222447"
"gene20","gene47","0.0124712238596689"
"gene35","gene41","0.0124625090802157"
"gene38","gene43","0.0124572525460701"
"gene24","gene37","0.0123543653412314"
"gene33","gene46","0.0123001701686215"
"gene23","gene32","0.0121892074814661"
"gene44","gene48","0.0121837186306143"
"gene18","gene40","0.0121607769662707"
"gene10","gene38","0.0121264482330603"
"gene14","gene39","0.0120187144752177"
"gene9","gene18","0.0119418304878372"
"gene23","gene35","0.0118887664090507"
"gene9","gene26","0.011846223922198"
"gene14","gene20","0.0117829580351066"
"gene19","gene25","0.0117586968020524"
"gene6","gene41","0.0117252301717114"
"gene25","gene28","0.0117224313834638"
"gene14","gene44","0.0117041486111686"
"gene31","gene45","0.0116610821757715"
"gene43","gene45","0.01155410583393"
"gene36","gene44","0.0115454203583614"
"gene14","gene24","0.0115242228024023"
"gene9","gene35","0.0114642327410777"
"gene14","gene32","0.0114264307849711"
"gene23","gene27","0.0113543209843569"
"gene36","gene45","0.011349336668106"
"gene2","gene37","0.0113457427465401"
"gene34","gene37","0.0112764756521462"
"gene17","gene40","0.0111868490943523"
"gene26","gene44","0.011178781408136"
"gene17","gene36","0.0111683610114191"
"gene21","gene48","0.011098249712149"
"gene8","gene42","0.0110934635721055"
"gene37","gene44","0.0110655090267842"
"gene24","gene44","0.0110252759993826"
"gene3","gene21","0.0110179723205733"
"gene24","gene30","0.0109923090122412"
"gene2","gene42","0.0109834656428115"
"gene22","gene32","0.0109775582779975"
"gene4","gene39","0.0107099294100841"
"gene40","pheno2","0.0106558344507105"
"gene6","gene48","0.0106335022931325"
"gene27","gene28","0.0105725892465112"
"gene4","pheno2","0.010480727705984"
"gene7","gene26","0.0104585634367697"
"gene7","gene16","0.0104294363425196"
"gene10","gene34","0.0103966858886326"
"gene12","gene49","0.0103313126684783"
"gene13","pheno2","0.0102081435436762"
"gene32","gene34","0.0101652721959179"
"gene3","gene29","0.0101455263281389"
"gene32","gene35","0.0101263490906098"
"gene33","gene34","0.010073530826782"
"gene34","gene35","0.0100697380726727"
"gene15","gene45","0.0100078375555251"
"gene34","pheno3","0.00997727225954672"
